commit	message	characters	characters %
df0b6cfbda88144714541664fb501146d6465a82	worktree: new place for "git prune --worktrees"	16	0.06
97fc6c5fbacc2181319bbd7e2faa8ac04476f862	git --help COMMAND brings up the git-COMMAND man-page.	15	0.06
00624d608cc69bd62801c93e74d1ea7a7ddd6598	Merge branch 'sb/object-store-grafts'	15	0.06
c91f0d92efb36d7b349f586cafafaf0e6ac3f5b2	git-commit.sh: convert run_status to a C builtin	15	0.06
cee7f245dcaef6dade28464f59420095a9949aac	git-pickaxe: blame rewritten.	15	0.06
4a164d48df6bb1b4a771741c63d4437fd2dca0bb	Merge branch 'jc/merge-base' (early part)	15	0.06
c74320872b445104fe5c265e60785d9d26d94cc5	built-in count-objects.	15	0.06
be8a90e59ce4c7603207a8255284fdbbffff1a2e	difftool: add a skeleton for the upcoming builtin	15	0.06
f172f334fde49ce29d0afa21749bf85463a2db9a	git: s/run_command/run_builtin/	14	0.05
4df096a5ca24f2f39042c51cf51b8a2bec66a2b5	Add git-archive	14	0.05
ae533c4a92aef6ab180441dbb76ef83521fc87d6	Merge branch 'jm/cache-entry-from-mem-pool'	13	0.05
8af84dadb142f7321ff0ce8690385e99da8ede2f	git wrapper: DWIM mistyped commands	13	0.05
d824cbba02a4061400a0e382f9bd241fbbff34f0	Convert existing die(..., strerror(errno)) to die_errno()	12	0.05
c31820c26b8f164433e67d28c403ca0df0316055	Make git-branch a builtin	12	0.05
2e0afafebd8c5a1a8cdddb0714073461229ecfef	Add git-bundle: move objects and references by archive	12	0.05
376bb3a352d6512a318706c2fba5737ffd7cc92b	Merge branch 'lt/dirwalk'	12	0.05
217542640ed219c980fff2b3c307c4520120f20f	built-in tar-tree and remote tar-tree	12	0.05
c9c6cc8d7db312b9e8502f8d55422b8309cde2f3	Merge branch 'maint'	12	0.05
b02f5aeda6f66ac3be9b2e35f9b237d4f1f80d73	Merge branch 'jl/submodule-mv'	11	0.04
a7412ae1342b09f16d659d75da5d25f137800a60	alias.c: mark split_cmdline_strerror() strings for translation	11	0.04
96c48153c9a2905fb2f1d588c11e36272635cb79	Merge branch 'ml/worktree'	11	0.04
1da1b3a3e06fdcbbd0b154a6930fc0261a5ee866	branch: work in subdirectories.	11	0.04
8112894d82637c199294702942cac477b756b678	Make count-objects, describe and merge-tree work in subdirectory	11	0.04
56d1398ad305498faf57d6e433f97ad393d7909e	Builtin git-tar-tree.	11	0.04
fcab40a389e99786a8276108cdbc1cda8caf502f	Merge branch 'mv/merge-in-c'	11	0.04
3ea3c215c02dc4a4e7d0881c25b2223540960797	Fix typos / spelling in comments	11	0.04
5b6dedd6a0b7566f7e8466b6aefe8f019c52f5d3	annotate: make it work from subdirectories.	10	0.04
1d541c120b4de5c70e73f8a20e1d961324cc55fe	shortlog: use pager	10	0.04
52b70d56bd23811003a72866cc23a0a44b9da1b7	git log [diff-tree options]...	9	0.03
ea77e675e564211513ebedb4f5bdcda482d7fd30	Make "git help" react to window size correctly	9	0.03
d75307084da5f89329de190bb9b4a3196cec1d0e	remove trailing LF in die() messages	9	0.03
102cb08521df5f33b30c0ef41a1078a61e593943	Merge branch 'master' into mk/rename	9	0.03
68a2e6a2c80303144807c8c91a087427e3c8e727	Merge branch 'nd/multiple-work-trees'	9	0.03
d7ed183a918bf6330d9036ca2d710d771b4b6198	Merge branch 'rt/help-unknown'	9	0.03
59f0f2f33a420e9a14bb8cef20d38f508f0d098e	Refactor working tree setup	8	0.03
8ab99476ec2298a43e94949e0bb7aa5125793a28	builtin-diff: call it "git-diff", really.	8	0.03
efca578eec57869994da0982e05dcf1dee0bc213	Merge branch 'jc/grep'	8	0.03
5fb61b8dcfdf7bcec0793c071813e255d1803859	Make "git rev-list" be a builtin	8	0.03
27bd38d4e5a44da233a9e7d01c6a518aba355297	git.c: treat RUN_SETUP_GENTLY and RUN_SETUP as mutually exclusive	7	0.03
cbd9fc2366abd6bd4bd3a544e2fe438b53ca0d2f	interpret-trailers: allow running outside a repository	7	0.03
89d07f750a3f878c42b3de96ee93dc571b42b230	diff: don't run pager if user asked for a diff style exit code	7	0.03
5709e0363a891b72eb9e9756d7fb121d9bf6a7c7	run_command: return exit code as positive value	7	0.03
293b07f114796d39c5571d5fe4808e898e5af0c8	Fix 'git' wrapper usage string	6	0.02
9665627d8cc6f0263f0019e92c67a38223804b57	i18n: help: mark strings for translation	6	0.02
20de316e33446f37200e51aa333ba7d824dfd478	difftool: allow running outside Git worktrees with --no-index	6	0.02
a2f8028d3d661b314d5a784764f2f5f9e4c2dde0	Make '!' aliases more useful	6	0.02
59556548230e617b837343c2c07e357e688e2ca4	replace {pre,suf}fixcmp() with {starts,ends}_with()	6	0.02
b72e90712eb0e802b232ad4c88460d04279c7111	Merge branch 'js/difftool-no-index'	6	0.02
33ebb8717f15a85615f712df125c37737062e1b2	git wrapper: fix command name in an error message.	6	0.02
ad5fe3771b50f3862130d150b5cc8bb316ef6f1c	grammofix in user-facing messages	5	0.02
4a73aaaf18099ec1897330dd6c4a09f10ea2f573	patch-id: use RUN_SETUP_GENTLY	5	0.02
da6bf70ebf7d485e3643ba3569962a4c08e37906	git: grok 'help' to mean '--help'.	5	0.02
6e353a5e5de9da021c7c6c0bc2dc5f95a39900a1	Merge branch 'cc/bisect-filter'	5	0.02
6634f05454662b62e1f34766d3684b99fb53ad66	trailer: add interpret-trailers command	5	0.02
7559a1be8a0afb10df41d25e4cf4c5285a5faef1	unblock and unignore SIGPIPE	5	0.02
4d3ab44d26c47d100cec39d0ef9ed9746eb7e454	use xgetcwd() to set $GIT_DIR	4	0.02
2b64fc894dada0916558fd0bfd19c50631f978cb	pass "git -c foo=bar" params through environment	4	0.02
53bbcfbde7c29611f16722c3fbcdb2b78718f633	rebase -i: implement the main part of interactive rebase as a builtin	4	0.02
d8498500ba5cf348577202e0bb7810cbd68fa120	fix git alias	4	0.02
71dfbf224ff980f4085f75868dc409118418731e	Make merge-base a built-in.	4	0.02
755225de6ce4c7b39137afefb35208d0dbc14d9d	git builtin "push"	4	0.02
131f0315c46c30d5a9e6743354808230cf4908c0	Merge branch 'pr/use-default-sigpipe-setting'	4	0.02
477f2b41310c4b1040a9e7f72720b9c39d82caf9	git log --full-diff	4	0.02
2cd72b0b290e40fb4d6a925ce26603503f01aa09	git_extract_argv0_path(): Move check for valid argv0 from caller to callee	4	0.02
421a97694590c2be58f3ccebf301c7239289aa00	Translate git_more_info_string consistently	4	0.02
f0853837d6ee69dccfa59222a0e869de94bdddc6	git-log: match rev-list --abbrev and --abbrev-commit	3	0.01
069c053222bfc62a6522430a137e9b2c7ff36e4c	add GIT_SHALLOW_FILE to propagate --shallow-file to subprocesses	3	0.01
67c116bb26b4ee31889e5ee15d6a9d3b7e972b7b	Merge branch 'jk/pager-with-external-command'	3	0.01
6a2df51c848c86e5620dcdf1a0ee2de637937b77	shallow: add repository argument to set_alternate_shallow_file	2	0.01
4264dc15e198bf9e9a2bb4ee897dd8e3eaabca47	git reflog expire	2	0.01
9277d60233a1829742aa2d9d20ddbfc3b2b7acde	git --bare cmd: do not unconditionally nuke GIT_DIR	2	0.01
e85dc0a3c7a3f4f8d5aade83fd340b8df73471cd	Accept git aliases outside a git repository	2	0.01
6c8d06aff107aa2132648d682a278111c1d08565	git-push: allow pushing from subdirectories	2	0.01
d9b814cc97f16daac06566a5340121c446136d22	Add builtin "git rm" command	2	0.01
6a257f03ba9b86c744064d08df98db1847cf1722	multi-pack-index: add builtin	2	0.01
f285a2d7ed6548666989406de8f0e7233eb84368	Replace calls to strbuf_init(&foo, 0) with STRBUF_INIT initializer	2	0.01
d807c4a01db2b06db047fc6d5d18ac25c8f05bd7	exec_cmd: rename to use dash in file name	1	0.0
4050c0df8ec7043315e2192695de432875239775	Clean up compatibility definitions.	1	0.0
ef5ddb2fe0cdb3bd09acb7229512b6ae9193423f	Use PATH_MAX constant for --bare.	1	0.0
e90fdc39b6903502192b2dd11e5503cea721a1ad	Clean up work-tree handling	1	0.0
f4ed0af6e2762bc43de474d1fcaa2863b00268eb	Merge branch 'nd/columns'	1	0.0
230f544e877641666f8c3718ac4563294c2b305e	Merge branch 'jc/diff'	1	0.0
11529ecec914d2f0d7575e6d443c2d5a6ff75424	Merge branch 'jk/tighten-alloc'	1	0.0
3f2e2297b9c88a6ab5fc4bff02cf2a07ce057589	add an extra level of indirection to main()	1	0.0
89c8626557621ef000930da3c8a23fa03ad7e01a	submodule helper: support super prefix	1	0.0
9d04401ffe18138138e8f765c2bb31420f3efe25	Merge branch 'cc/interpret-trailers'	1	0.0
2ae68fcb785a617793813abcea19893e13e436b0	Make verify-tag a builtin.	1	0.0
